YEAR,MONTH,final_cluster,WATER_AMOUNT,percent_of_filtered,TOTAL PRODUCTION  (m3),percent_of_production
2024,,0,228465563.21,62.07403658987732,,
2024,,0,226643206.26,63.068306889919825,,
2024,,0,267507249.53,65.00336272977464,,
2024,,0,211326311.71,61.44883226026078,,
2024,,0,219656713.19,61.68093045383507,,
2025,,0,252062614.97,62.477879770512736,,
2025,,0,280428306.41,64.90159690423637,,
2025,,0,276846280.09,64.95004066101842,,
2025,,0,255743179.97,62.92807652217262,,
2025,,0,273577583.35,63.47713197738102,,
