YEAR,MONTH,final_cluster,WATER_AMOUNT,percent_of_filtered,TOTAL PRODUCTION  (m3),percent_of_production
2025,,1,39284381.0,9.115000603673252,,
2025,,1,37105443.0,8.705192032241264,,
2025,,1,36968608.0,9.163279711995822,,
2024,,1,36234755.0,10.174937841455883,,
2024,,1,33221041.0,9.659914846389887,,
2025,,1,31970548.0,7.866661747288012,,
2025,,1,30295919.0,7.011608592417328,,
2024,,1,25012150.0,6.960164296153954,,
2024,,1,24583214.0,5.973638394896901,,
2024,,1,24259638.0,6.591337599027988,,
