Unnamed: 0,REGION,ZONE,SUB_ZONE,INSTALLATION_KEY,INST_TYPE_CODE,INSTALLATION_TYPE_DESC,METER_SIZE,BILL_ESTIMATE_ACTUAL,BILL_VALID_INVALID,MAIN_SERVICE,SHADOW_SERVICE,WATER_AMOUNT,SEWER_AMOUNT,BILL_AMOUNT,BILL_VOLUME,MONTH,YEAR,NEGATIVE,final_cluster,gmm_cluster,BILL_VALID_BINARY,High_Loss,Cluster
84155,0,24,3,CV-7087295,INDST,INDUSTRIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,12.268400799465264,14.003774498909873,2080080.0,15547.0,August,2024.0,False,2,1,0,1,2
94258,8,22,48,CV-7097795,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,10.615098669196863,12.121045916662116,1803656.0,13484.0,August,2024.0,False,2,1,0,1,2
94969,9,26,34,CV-7098526,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT, ,26.032621878001155,-0.15370753291925315,2616516.0,32712.0,August,2024.0,False,2,2,0,1,2
96855,10,8,38,CV-7100474,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT, ,11.04383124657948,-0.15370753291925315,1120268.0,14024.0,August,2024.0,False,2,2,0,1,2
108618,4,28,60,CV-7112797,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.789828612800337,6.62498756021035,996824.0,7463.0,August,2024.0,False,2,1,0,1,2
109929,0,24,11,CV-7114168,DOM,DOMESTIC,4.742360434243062,ACTUAL,VALID,WAT,SEW,7.065247424127967,8.080339593999152,1210242.0,9055.0,August,2024.0,False,2,1,0,1,2
110510,8,29,21,CV-7114767,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT, ,16.35878086388112,-0.15370753291925315,1650830.0,20651.0,August,2024.0,False,2,2,0,1,2
130338,8,11,52,CV-7135232,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,9.320826764018257,10.647235759517942,1587264.0,11869.0,August,2024.0,False,2,1,0,1,2
138945,0,5,35,CV-7144184,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.097598858487661,6.980340240887958,1048570.0,7843.0,August,2024.0,False,2,1,0,1,2
187363,8,29,21,CV-7194452,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT, ,17.23952688480452,-0.15370753291925315,1738750.0,21750.0,August,2024.0,False,2,2,0,1,2
196065,8,22,0,CV-7203580,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.721063259126987,7.6862282348839415,1152568.0,8625.0,August,2024.0,False,2,1,0,1,2
201568,1,12,17,CV-7209198,INDST,INDUSTRIAL,2.7153512441946357,ACTUAL,VALID,WAT,SEW,5.7128935645668095,6.537362183402439,983960.0,7367.0,August,2024.0,False,2,1,0,1,2
213244,8,11,32,CV-7221409,BLK-WSP,BULK WATER SERVICE PROVIDER,6.769369624291487,ACTUAL,VALID,WAT, ,9.427113334559627,-0.15370753291925315,958880.0,29965.0,August,2024.0,False,2,2,0,1,2
222777,0,24,11,CV-001235148,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,15.948019832921805,18.18837642974524,2694961.0,20144.0,August,2024.0,False,2,1,0,1,2
223528,8,22,0,CV-001235989,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,18.274143002194972,20.84463898553861,3084312.0,23041.0,August,2024.0,False,2,1,0,1,2
225601,10,8,43,CV-001237852,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,8.472137013192162,9.680922576386255,1445376.0,10810.0,August,2024.0,False,2,1,0,1,2
226031,10,8,43,CV-001238291,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,12.169857821669272,13.896659913101283,2063906.0,15420.0,August,2024.0,False,2,1,0,1,2
248617,1,12,17,IN-1001409,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.208964344322573,7.103276075286865,1066960.0,7986.0,Sep,2024.0,False,2,1,0,1,2
248828,1,12,17,IN-1001624,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,14.837710847764095,16.930705488118573,2509720.0,18753.0,Sep,2024.0,False,2,1,0,1,2
251950,0,15,14,IN-1004802,DOM,DOMESTIC,-0.3251625408780024,ACTUAL,VALID,WAT,SEW,5.6587785736088,6.47874242901011,975090.0,7300.0,Sep,2024.0,False,2,1,0,1,2
258024,8,11,52,IN-1011213,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,15.940446539111317,18.186669222365303,2694104.0,20129.0,Sep,2024.0,False,2,1,0,1,2
259290,5,4,50,IN-1012412,BLK-WSP,BULK WATER SERVICE PROVIDER,14.877406384485191,ACTUAL,VALID,WAT, ,20.568270006877267,-0.15370753291925315,2071040.0,64720.0,Sep,2024.0,False,1,2,0,1,2
262927,8,29,21,IN-1016147,COM,COMMERCIAL,14.877406384485191,ACTUAL,VALID,WAT, ,25.486002367335708,-0.15370753291925315,2561950.0,32040.0,Sep,2024.0,False,1,2,0,1,2
263296,3,1,44,IN-1016540,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT,SEW,9.81046625458575,11.207622356221776,1669295.0,12478.0,Sep,2024.0,False,2,1,0,1,2
265349,8,11,52,IN-1018701,DOM,DOMESTIC,6.769369624291487,ACTUAL,VALID,WAT,SEW,9.234655502962944,10.552105431455649,1573034.0,11762.0,Sep,2024.0,False,2,1,0,1,2
270170,8,22,48,IN-1023860,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,16.084689736964773,18.350020233451655,2718167.0,20310.0,Sep,2024.0,False,2,1,0,1,2
271392,10,13,62,IN-1024996,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,5.683241514726804,6.504502667099472,979056.0,7330.0,Sep,2024.0,False,2,1,0,1,2
273050,8,29,21,IN-1026697,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT, ,24.38246526923605,-0.15370753291925315,2451790.0,30663.0,Sep,2024.0,False,2,2,0,1,2
280299,5,20,12,IN-1034303,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,6.278726802121828,7.186354533429397,1078839.0,8070.0,Sep,2024.0,False,2,1,0,1,2
295428,8,29,21,IN-1050067,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT, ,12.415058235160423,-0.15370753291925315,1257150.0,15730.0,Sep,2024.0,False,2,2,0,1,2
300625,8,11,52,IN-1055639,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.638352719006175,6.451224274410711,971423.0,7275.0,Sep,2024.0,False,2,1,0,1,2
301091,0,24,3,IN-1055993,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,9.376915219104133,10.70957418345073,1596551.0,11940.0,Sep,2024.0,False,2,1,0,1,2
301498,1,12,17,IN-1056524,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,7.617036008346605,8.706090259398241,1302344.0,9743.0,Sep,2024.0,False,2,1,0,1,2
303815,8,29,21,IN-1058785,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT, ,27.011880823967328,-0.15370753291925315,2714270.0,33944.0,Sep,2024.0,False,1,2,0,1,2
310134,5,20,12,IN-1065571,COM,COMMERCIAL,14.877406384485191,ACTUAL,VALID,WAT,SEW,32.562423991315335,37.118618689363444,5473416.0,40870.0,Sep,2024.0,False,1,1,0,1,2
310897,9,26,34,IN-1066364,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT, ,8.957789505166302,-0.15370753291925315,912030.0,11416.0,Sep,2024.0,False,2,2,0,1,2
314563,10,8,38,IN-1070010,DOM,DOMESTIC,4.742360434243062,ACTUAL,VALID,WAT, ,8.14241824007259,-0.15370753291925315,830636.0,10404.0,Sep,2024.0,False,2,2,0,1,2
321011,1,12,17,IN-1076901,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,5.797872733077878,6.6395748866349695,998490.0,7469.0,Sep,2024.0,False,2,1,0,1,2
341150,8,22,48,IN-1097795,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,12.419065268922587,14.1753741951587,2105272.0,15735.0,Sep,2024.0,False,2,1,0,1,2
355439,4,28,60,IN-1112797,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.88695445688053,7.8748661988454165,1180288.0,8832.0,Sep,2024.0,False,2,1,0,1,2
356748,0,24,11,IN-1114168,DOM,DOMESTIC,4.742360434243062,ACTUAL,VALID,WAT,SEW,6.776740993252241,7.751744430969486,1162002.0,8695.0,Sep,2024.0,False,2,1,0,1,2
357327,8,29,21,IN-1114767,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT, ,37.25065349304589,-0.15370753291925315,3736350.0,46720.0,Sep,2024.0,False,1,2,0,1,2
357378,8,22,48,IN-1114726,GOV,GOVERNMENT,4.742360434243062,ACTUAL,VALID,WAT,SEW,5.574600811850163,6.378287642287614,960744.0,7196.0,Sep,2024.0,False,2,1,0,1,2
