Unnamed: 0,REGION,ZONE,SUB_ZONE,INSTALLATION_KEY,INST_TYPE_CODE,INSTALLATION_TYPE_DESC,METER_SIZE,BILL_ESTIMATE_ACTUAL,BILL_VALID_INVALID,MAIN_SERVICE,SHADOW_SERVICE,WATER_AMOUNT,SEWER_AMOUNT,BILL_AMOUNT,BILL_VOLUME,MONTH,YEAR,NEGATIVE,final_cluster,gmm_cluster,TARGET_BIN,BILL_VALID_BINARY,High_Loss,Cluster
1806791,9,28,60,CV-7043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,36.777823509110675,41.919759126963584,6178256.0,46130.0,Mar,2025.0,False,1,1,1,0,1,1
1824260,5,20,12,CV-7103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,52.47738178926479,59.800204072266794,8803280.0,65720.0,Mar,2025.0,False,1,1,1,0,1,1
2019444,3,18,45,CV-7000374,66244.83111311808,INDUSTRIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,90.35186490922823,102.93744686332808,15136120.0,112980.0,Apr,2025.0,False,1,1,1,0,1,1
2052876,9,28,60,CV-7043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,37.73149754450544,43.00534018408381,6337680.0,47320.0,Apr,2025.0,False,1,1,1,0,1,1
2070376,5,20,12,CV-7103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,50.97073709469155,58.08420710977853,8551360.0,63840.0,Apr,2025.0,False,1,1,1,0,1,1
2071089,5,20,12,CV-7065571,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,37.48306145125134,42.72299174770277,6296176.0,47010.0,Apr,2025.0,False,1,1,1,0,1,1
2265958,3,18,45,CV-7000374,66244.83111311808,INDUSTRIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,92.44353653307725,105.32037030485434,15485896.0,115590.0,May,2025.0,False,1,1,1,0,1,1
2299571,9,28,60,CV-7043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,37.36285043838645,42.58546858687924,6276040.0,46860.0,May,2025.0,False,1,1,1,0,1,1
2317124,5,20,12,CV-7103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,77.1274213312089,87.87360674318549,12924806.0,96480.0,May,2025.0,False,1,1,1,0,1,1
2317839,5,20,12,CV-7065571,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,37.22661129047292,42.43090715834306,6253296.0,46690.0,May,2025.0,False,1,1,1,0,1,1
